,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3211848,35103556,2019-06-27,t,$85.00,$85.00,3,14
3211849,35103556,2019-06-28,t,$90.00,$90.00,3,14
3211850,35103556,2019-06-29,t,$95.00,$95.00,3,14
3211851,35103556,2019-06-30,t,$90.00,$90.00,3,14
3213593,35027075,2019-06-30,t,$139.00,$139.00,2,14
3213958,35027085,2019-06-30,t,$139.00,$139.00,2,14
3214673,35027093,2019-06-30,t,$139.00,$139.00,2,14
3215556,35178366,2019-06-30,t,$39.00,$39.00,1,1125
3216115,35126357,2019-06-25,t,$349.00,$349.00,1,10
3216116,35126357,2019-06-26,t,$356.00,$356.00,1,10
3216117,35126357,2019-06-27,t,$349.00,$349.00,1,10
3216118,35126357,2019-06-28,t,$349.00,$349.00,1,10
3216119,35126357,2019-06-29,t,$349.00,$349.00,1,10
3216120,35126357,2019-06-30,t,$349.00,$349.00,1,10
3216699,35178999,2019-06-26,t,$40.00,$40.00,2,1125
3216700,35178999,2019-06-27,t,$40.00,$40.00,2,1125
3216701,35178999,2019-06-28,t,$40.00,$40.00,2,1125
3216702,35178999,2019-06-29,t,$40.00,$40.00,2,1125
3216703,35178999,2019-06-30,t,$40.00,$40.00,2,1125
3217199,35126467,2019-06-25,t,$50.00,$50.00,1,1125
3217685,35126471,2019-06-25,t,$79.00,$79.00,1,1125
3218274,35183200,2019-06-30,t,$120.00,$120.00,2,1125
3219825,35131757,2019-06-27,t,$99.00,$99.00,30,1125
3219826,35131757,2019-06-28,t,$199.00,$199.00,30,1125
3219827,35131757,2019-06-29,t,$199.00,$199.00,30,1125
3219828,35131757,2019-06-30,t,$99.00,$99.00,30,1125
3220188,35134993,2019-06-25,t,$76.00,$76.00,1,30
3220189,35134993,2019-06-26,t,$76.00,$76.00,1,30
3220190,35134993,2019-06-27,t,$76.00,$76.00,1,30
3220191,35134993,2019-06-28,t,$76.00,$76.00,1,30
